sample_id,true_label,predicted_label,confidence,is_correct,top1,top2,top3
0,angry,angry,0.5175,True,angry:0.517,sad:0.181,neutral:0.150
1,surprise,neutral,0.3107,False,neutral:0.311,sad:0.272,angry:0.214
2,neutral,sad,0.3017,False,sad:0.302,neutral:0.275,fear:0.200
3,sad,angry,0.4790,False,angry:0.479,sad:0.231,fear:0.140
4,fear,angry,0.5692,False,angry:0.569,sad:0.179,fear:0.146
5,angry,angry,0.6417,True,angry:0.642,fear:0.298,surprise:0.026
6,sad,neutral,0.4566,False,neutral:0.457,angry:0.212,sad:0.164
7,happy,happy,0.9724,True,happy:0.972,neutral:0.010,angry:0.006
8,angry,fear,0.3787,False,fear:0.379,angry:0.361,sad:0.098
9,happy,happy,0.5929,True,happy:0.593,surprise:0.274,fear:0.080
10,surprise,surprise,0.7196,True,surprise:0.720,happy:0.271,fear:0.008
11,happy,happy,0.9114,True,happy:0.911,surprise:0.056,angry:0.018
12,sad,neutral,0.7112,False,neutral:0.711,sad:0.137,fear:0.085
13,sad,sad,0.4035,True,sad:0.403,fear:0.228,neutral:0.196
14,angry,sad,0.3857,False,sad:0.386,fear:0.318,neutral:0.167
15,neutral,neutral,0.7490,True,neutral:0.749,sad:0.109,angry:0.049
16,fear,angry,0.4115,False,angry:0.411,fear:0.359,surprise:0.123
17,surprise,surprise,0.9324,True,surprise:0.932,fear:0.059,sad:0.006
18,sad,sad,0.3474,True,sad:0.347,neutral:0.220,fear:0.207
19,fear,angry,0.4843,False,angry:0.484,fear:0.199,sad:0.167
20,happy,neutral,0.4634,False,neutral:0.463,happy:0.263,angry:0.190
21,neutral,happy,0.6556,False,happy:0.656,neutral:0.172,sad:0.128
22,angry,angry,0.5085,True,angry:0.509,neutral:0.334,sad:0.110
23,neutral,neutral,0.7658,True,neutral:0.766,sad:0.084,angry:0.073
24,happy,happy,0.6341,True,happy:0.634,fear:0.122,angry:0.096
25,fear,surprise,0.3506,False,surprise:0.351,fear:0.271,angry:0.175
26,surprise,surprise,0.6730,True,surprise:0.673,fear:0.261,angry:0.030
27,neutral,neutral,0.5478,True,neutral:0.548,sad:0.168,angry:0.140
28,neutral,neutral,0.8755,True,neutral:0.875,sad:0.044,fear:0.031
29,happy,neutral,0.3729,False,neutral:0.373,sad:0.215,angry:0.163
30,sad,sad,0.4130,True,sad:0.413,neutral:0.238,angry:0.165
31,neutral,neutral,0.4308,True,neutral:0.431,happy:0.218,sad:0.150
32,neutral,neutral,0.3628,True,neutral:0.363,angry:0.343,sad:0.212
33,angry,fear,0.4486,False,fear:0.449,sad:0.218,neutral:0.136
34,disgust,angry,0.6639,False,angry:0.664,fear:0.108,sad:0.097
35,happy,neutral,0.6311,False,neutral:0.631,happy:0.249,sad:0.044
36,surprise,surprise,0.4586,True,surprise:0.459,happy:0.210,fear:0.183
37,angry,sad,0.4234,False,sad:0.423,angry:0.225,neutral:0.165
38,angry,fear,0.4405,False,fear:0.440,surprise:0.253,angry:0.166
39,sad,sad,0.4230,True,sad:0.423,angry:0.342,fear:0.125
40,neutral,sad,0.4254,False,sad:0.425,fear:0.232,neutral:0.220
41,sad,neutral,0.3543,False,neutral:0.354,angry:0.319,sad:0.179
42,fear,fear,0.4766,True,fear:0.477,sad:0.172,happy:0.160
43,sad,sad,0.3311,True,sad:0.331,angry:0.307,neutral:0.249
44,fear,angry,0.4552,False,angry:0.455,neutral:0.333,sad:0.126
45,sad,sad,0.4001,True,sad:0.400,neutral:0.319,happy:0.113
46,happy,happy,0.9961,True,happy:0.996,neutral:0.003,surprise:0.000
47,neutral,fear,0.3150,False,fear:0.315,surprise:0.266,neutral:0.214
48,happy,happy,0.8017,True,happy:0.802,neutral:0.109,sad:0.045
49,happy,happy,0.9821,True,happy:0.982,neutral:0.009,angry:0.004
50,sad,sad,0.6460,True,sad:0.646,fear:0.109,neutral:0.109
51,fear,fear,0.5438,True,fear:0.544,surprise:0.246,angry:0.129
52,happy,neutral,0.4937,False,neutral:0.494,happy:0.370,sad:0.052
53,fear,angry,0.7232,False,angry:0.723,disgust:0.112,fear:0.112
54,angry,neutral,0.4918,False,neutral:0.492,angry:0.320,sad:0.102
55,sad,surprise,0.5058,False,surprise:0.506,fear:0.292,angry:0.126
56,happy,surprise,0.9184,False,surprise:0.918,happy:0.055,fear:0.025
57,neutral,happy,0.4918,False,happy:0.492,neutral:0.237,sad:0.108
58,neutral,neutral,0.7206,True,neutral:0.721,sad:0.092,fear:0.077
59,fear,sad,0.5386,False,sad:0.539,fear:0.136,angry:0.130
60,neutral,sad,0.3596,False,sad:0.360,neutral:0.291,fear:0.134
61,sad,surprise,0.9318,False,surprise:0.932,fear:0.050,angry:0.007
62,neutral,neutral,0.7594,True,neutral:0.759,angry:0.096,sad:0.083
63,happy,neutral,0.6706,False,neutral:0.671,angry:0.211,sad:0.082
64,angry,sad,0.3995,False,sad:0.399,fear:0.254,happy:0.131
65,angry,angry,0.7017,True,angry:0.702,fear:0.201,happy:0.039
66,happy,happy,0.9448,True,happy:0.945,neutral:0.018,angry:0.015
67,surprise,surprise,0.7531,True,surprise:0.753,fear:0.220,sad:0.007
68,neutral,neutral,0.8636,True,neutral:0.864,surprise:0.065,sad:0.040
69,angry,fear,0.4081,False,fear:0.408,sad:0.230,angry:0.122
70,fear,sad,0.3330,False,sad:0.333,neutral:0.213,fear:0.194
71,surprise,angry,0.5533,False,angry:0.553,fear:0.243,happy:0.106
72,surprise,angry,0.2562,False,angry:0.256,happy:0.194,surprise:0.186
73,neutral,neutral,0.3960,True,neutral:0.396,angry:0.292,sad:0.217
74,happy,happy,0.9683,True,happy:0.968,angry:0.012,fear:0.006
75,angry,angry,0.3399,True,angry:0.340,neutral:0.255,sad:0.234
76,neutral,neutral,0.7756,True,neutral:0.776,sad:0.081,fear:0.059
77,angry,fear,0.3720,False,fear:0.372,surprise:0.294,angry:0.119
78,surprise,surprise,0.9584,True,surprise:0.958,fear:0.041,sad:0.001
79,happy,happy,0.7667,True,happy:0.767,angry:0.080,surprise:0.077
80,fear,surprise,0.8723,False,surprise:0.872,fear:0.123,sad:0.002
81,happy,happy,0.8073,True,happy:0.807,neutral:0.130,sad:0.029
82,surprise,surprise,0.7541,True,surprise:0.754,fear:0.195,happy:0.018
83,neutral,happy,0.2942,False,happy:0.294,neutral:0.267,sad:0.218
84,happy,neutral,0.5152,False,neutral:0.515,sad:0.141,angry:0.118
85,sad,neutral,0.4019,False,neutral:0.402,sad:0.269,fear:0.215
86,neutral,angry,0.2589,False,angry:0.259,fear:0.236,neutral:0.177
87,fear,surprise,0.4393,False,surprise:0.439,fear:0.358,angry:0.110
88,happy,happy,0.9508,True,happy:0.951,neutral:0.040,sad:0.005
89,happy,surprise,0.5097,False,surprise:0.510,happy:0.374,fear:0.056
90,happy,happy,0.9439,True,happy:0.944,surprise:0.023,neutral:0.021
91,fear,surprise,0.4546,False,surprise:0.455,fear:0.282,angry:0.195
92,sad,angry,0.3759,False,angry:0.376,sad:0.295,neutral:0.238
93,neutral,neutral,0.7197,True,neutral:0.720,sad:0.118,angry:0.069
94,neutral,neutral,0.6551,True,neutral:0.655,angry:0.105,sad:0.095
95,sad,fear,0.2214,False,fear:0.221,sad:0.204,happy:0.179
96,sad,angry,0.3652,False,angry:0.365,neutral:0.262,sad:0.230
97,surprise,surprise,0.7176,True,surprise:0.718,fear:0.236,angry:0.018
98,sad,angry,0.2823,False,angry:0.282,neutral:0.270,happy:0.170
99,neutral,neutral,0.3299,True,neutral:0.330,fear:0.293,sad:0.139
100,surprise,surprise,0.6443,True,surprise:0.644,fear:0.345,happy:0.004
101,happy,surprise,0.5102,False,surprise:0.510,happy:0.452,fear:0.029
102,neutral,neutral,0.6594,True,neutral:0.659,sad:0.175,angry:0.074
103,neutral,neutral,0.7216,True,neutral:0.722,angry:0.124,sad:0.103
104,happy,happy,0.8887,True,happy:0.889,sad:0.045,angry:0.028
105,sad,happy,0.5463,False,happy:0.546,neutral:0.182,fear:0.091
106,surprise,surprise,0.8670,True,surprise:0.867,fear:0.132,sad:0.000
107,surprise,surprise,0.9331,True,surprise:0.933,fear:0.066,sad:0.001
108,surprise,angry,0.3693,False,angry:0.369,fear:0.289,surprise:0.233
109,happy,happy,0.9224,True,happy:0.922,surprise:0.066,neutral:0.007
110,angry,angry,0.5729,True,angry:0.573,fear:0.181,sad:0.084
111,happy,fear,0.3365,False,fear:0.337,angry:0.236,happy:0.211
112,angry,angry,0.4881,True,angry:0.488,fear:0.348,surprise:0.102
113,angry,angry,0.4829,True,angry:0.483,fear:0.450,surprise:0.030
114,happy,happy,0.8083,True,happy:0.808,angry:0.106,fear:0.050
115,happy,neutral,0.5947,False,neutral:0.595,sad:0.147,angry:0.116
116,happy,happy,0.6179,True,happy:0.618,surprise:0.357,fear:0.018
117,happy,fear,0.4293,False,fear:0.429,sad:0.258,happy:0.120
118,happy,happy,0.9461,True,happy:0.946,angry:0.032,fear:0.007
119,angry,neutral,0.4223,False,neutral:0.422,happy:0.279,angry:0.095
120,neutral,happy,0.3766,False,happy:0.377,neutral:0.245,surprise:0.143
121,happy,happy,0.7545,True,happy:0.755,fear:0.104,surprise:0.076
122,surprise,surprise,0.9987,True,surprise:0.999,fear:0.001,sad:0.000
123,sad,sad,0.3374,True,sad:0.337,neutral:0.316,fear:0.166
124,sad,neutral,0.5046,False,neutral:0.505,sad:0.161,angry:0.147
125,angry,sad,0.3430,False,sad:0.343,angry:0.315,fear:0.189
126,sad,fear,0.3350,False,fear:0.335,sad:0.263,happy:0.132
127,happy,happy,0.9761,True,happy:0.976,surprise:0.011,neutral:0.009
128,happy,happy,0.4436,True,happy:0.444,neutral:0.208,surprise:0.204
129,happy,happy,0.8612,True,happy:0.861,neutral:0.067,sad:0.039
130,neutral,neutral,0.7226,True,neutral:0.723,angry:0.091,sad:0.069
131,happy,happy,0.9550,True,happy:0.955,neutral:0.027,angry:0.008
132,fear,sad,0.4883,False,sad:0.488,fear:0.248,neutral:0.137
133,angry,neutral,0.2873,False,neutral:0.287,sad:0.262,fear:0.173
134,surprise,surprise,0.9544,True,surprise:0.954,fear:0.031,happy:0.007
135,angry,neutral,0.8771,False,neutral:0.877,angry:0.048,sad:0.042
136,neutral,neutral,0.4935,True,neutral:0.493,angry:0.249,sad:0.158
137,neutral,neutral,0.4912,True,neutral:0.491,sad:0.214,angry:0.150
138,happy,happy,0.7168,True,happy:0.717,angry:0.239,fear:0.021
139,angry,angry,0.6445,True,angry:0.645,fear:0.159,sad:0.145
140,fear,sad,0.3449,False,sad:0.345,fear:0.201,happy:0.199
141,happy,happy,0.9140,True,happy:0.914,angry:0.033,fear:0.019
142,happy,happy,0.8538,True,happy:0.854,neutral:0.127,sad:0.008
143,sad,sad,0.7302,True,sad:0.730,fear:0.127,angry:0.080
144,angry,angry,0.4488,True,angry:0.449,sad:0.253,neutral:0.183
145,neutral,neutral,0.5110,True,neutral:0.511,angry:0.250,sad:0.163
146,surprise,happy,0.3891,False,happy:0.389,fear:0.278,angry:0.119
147,neutral,neutral,0.5806,True,neutral:0.581,angry:0.164,happy:0.105
148,sad,neutral,0.6525,False,neutral:0.653,sad:0.148,fear:0.084
149,fear,fear,0.3687,True,fear:0.369,sad:0.285,angry:0.158
150,neutral,neutral,0.6483,True,neutral:0.648,happy:0.147,sad:0.067
151,neutral,neutral,0.7570,True,neutral:0.757,sad:0.110,angry:0.067
152,neutral,neutral,0.7874,True,neutral:0.787,sad:0.059,happy:0.058
153,neutral,neutral,0.4913,True,neutral:0.491,happy:0.291,angry:0.067
154,neutral,angry,0.3667,False,angry:0.367,neutral:0.347,sad:0.124
155,surprise,surprise,0.4893,True,surprise:0.489,fear:0.307,happy:0.105
156,angry,fear,0.3826,False,fear:0.383,surprise:0.308,angry:0.151
157,angry,angry,0.4675,True,angry:0.468,sad:0.239,neutral:0.205
158,neutral,neutral,0.8060,True,neutral:0.806,sad:0.071,angry:0.064
159,happy,happy,0.6805,True,happy:0.680,angry:0.155,fear:0.089
160,sad,sad,0.4109,True,sad:0.411,neutral:0.235,angry:0.186
161,surprise,surprise,0.7880,True,surprise:0.788,fear:0.115,happy:0.088
162,happy,happy,0.9687,True,happy:0.969,neutral:0.010,surprise:0.010
163,fear,angry,0.3289,False,angry:0.329,fear:0.178,happy:0.143
164,neutral,neutral,0.4385,True,neutral:0.438,sad:0.294,angry:0.175
165,fear,sad,0.3437,False,sad:0.344,fear:0.302,neutral:0.251
166,angry,sad,0.4335,False,sad:0.433,fear:0.251,neutral:0.158
167,angry,surprise,0.5172,False,surprise:0.517,fear:0.276,angry:0.128
168,happy,happy,0.9438,True,happy:0.944,angry:0.027,fear:0.012
169,neutral,neutral,0.7545,True,neutral:0.754,angry:0.099,sad:0.062
170,happy,happy,0.8993,True,happy:0.899,surprise:0.070,fear:0.013
